description,reaction,T,I,pH,pMg,standard_dg_prime,stderr,n,SEM,nontrans_standard_dg_prime,nontrans_stderr
1-Chlorobutane,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])Cl,298.15,0.25,7.0,14.0,334.9,,1,,,
"1,2,4-Trichlorobenzene",[H]c1c([H])c(Cl)c(Cl)c([H])c1Cl,298.15,0.25,7.0,14.0,182.7,,1,,,
"3',5'-Cyclic AMP",[H]O[C@]1([H])[C@]2([H])OP(=O)(O[H])OC([H])([H])[C@@]2([H])O[C@@]1([H])n1c([H])nc2c(N([H])[H])nc([H])nc21,298.15,0.25,7.0,14.0,-343.5,,1,,,
"D-Fructose 1,6-bisphosphate",[H]OC1(C([H])([H])OP(=O)(O[H])O[H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-2207.0,,1,,,
D-Arabinose,[H]OC1([H])OC([H])([H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-334.8,,1,,,
D-Ribulose,[H]OC([H])([H])C(=O)[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-328.5,,1,,,
D-Galactose,[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-420.0,,1,,,
Maleic acid,[H]OC(=O)/C([H])=C(/[H])C(=O)O[H],298.15,0.25,7.0,14.0,-513.8,,1,,,
2-Iodobenzoate,[H]OC(=O)c1c([H])c([H])c([H])c([H])c1I,298.15,0.25,7.0,14.0,15.7,,1,,,
"1,1,2,2-Tetrachloroethane",[H]C(Cl)(Cl)C([H])(Cl)Cl,298.15,0.25,7.0,14.0,-7.4,,1,,,
Hydrazine,[H]N([H])N([H])[H],298.15,0.25,7.0,14.0,290.9,,1,,,
Creatinine,[H]N=C1N([H])C(=O)C([H])([H])N1C([H])([H])[H],298.15,0.25,7.0,14.0,261.9,,1,,,
4-Fluorobenzoate,[H]OC(=O)c1c([H])c([H])c(F)c([H])c1[H],298.15,0.25,7.0,14.0,-226.0,,1,,,
"2,4-Dichlorobenzoate",[H]OC(=O)c1c([H])c([H])c(Cl)c([H])c1Cl,298.15,0.25,7.0,14.0,-155.0,,1,,,
"2,3-Dichlorobenzoate",[H]OC(=O)c1c([H])c([H])c([H])c(Cl)c1Cl,298.15,0.25,7.0,14.0,-148.3,,1,,,
Chloroform,[H]C(Cl)(Cl)Cl,298.15,0.25,7.0,14.0,-25.8,,1,,,
Sulfite,[H]OS(=O)O[H],298.15,0.25,7.0,14.0,-488.0,,1,,,
Butanal,[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,196.1,,1,,,
2-Hydroxybutanoic acid,[H]OC(=O)[C@@]([H])(O[H])C([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,-221.9,,1,,,
Ethanol,[H]OC([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,62.8,,1,,,
"1,2,3-Trichlorobenzene",[H]c1c([H])c(Cl)c(Cl)c(Cl)c1[H],298.15,0.25,7.0,14.0,193.9,,1,,,
D-Glucose 6-phosphate,[H]OC1([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-1319.1,,1,,,
D-Fructose,[H]OC([H])([H])C(=O)[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-426.6,,1,,,
Glyoxylate,[H]OC(=O)C([H])=O,298.15,0.25,7.0,14.0,-428.7,,1,,,
3-Bromobenzoate,[H]OC(=O)c1c([H])c([H])c([H])c(Br)c1[H],298.15,0.25,7.0,14.0,-40.8,,1,,,
2-Deoxy-D-ribose 5-phosphate,[H]O[C@@]([H])(C([H])([H])C([H])=O)[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1084.6,,1,,,
"1,1,1,2-Tetrachloroethane",[H]C([H])(Cl)C(Cl)(Cl)Cl,298.15,0.25,7.0,14.0,3.7,,1,,,
D-Gluconic acid,[H]OC(=O)[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-680.9,,1,,,
2-Oxoglutarate,[H]OC(=O)C(=O)C([H])([H])C([H])([H])C(=O)O[H],298.15,0.25,7.0,14.0,-633.7,,1,,,
Oxygen,O=O,298.15,0.25,7.0,14.0,16.4,,1,,,
Acetate,[H]OC(=O)C([H])([H])[H],298.15,0.25,7.0,14.0,-247.9,,1,,,
Manganese,[Mn],298.15,0.25,7.0,14.0,0.0,,1,,,
"1,2-Dichloropropane",[H]C([H])([H])C([H])(Cl)C([H])([H])Cl,298.15,0.25,7.0,14.0,164.6,,1,,,
Nitrogen,N#N,298.15,0.25,7.0,14.0,18.7,,1,,,
Hydrogen,[H][H],298.15,0.25,7.0,14.0,99.1,,1,,,
D-Sorbitol,[H]OC([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-375.9,,1,,,
"D-Glucono-1,5-lactone",[H]OC([H])([H])[C@@]1([H])OC(=O)[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-496.1,,1,,,
CH3NHp,[H]C([H])([H])[N+]([O-])(C([H])([H])[H])C([H])([H])[H],298.15,0.25,7.0,14.0,444.0,,1,,,
1-Chloropropane,[H]C([H])([H])C([H])([H])C([H])([H])Cl,298.15,0.25,7.0,14.0,240.5,,1,,,
Pentachloroethane,[H]C(Cl)(Cl)C(Cl)(Cl)Cl,298.15,0.25,7.0,14.0,-27.5,,1,,,
2-Amino-5-chlorobenzoate,[H]OC(=O)c1c([H])c(Cl)c([H])c([H])c1N([H])[H],298.15,0.25,7.0,14.0,-12.6,,1,,,
"1,2,4,5-Tetrachlorobenzene",[H]c1c(Cl)c(Cl)c([H])c(Cl)c1Cl,298.15,0.25,7.0,14.0,135.0,,1,,,
(S)-Malate,[H]OC(=O)C([H])([H])[C@]([H])(O[H])C(=O)O[H],298.15,0.25,7.0,14.0,-682.9,,1,,,
Hydrogen cyanide,[H]C#N,298.15,0.25,7.0,14.0,160.3,,1,,,
D-Mannose,[H]OC([H])([H])[C@@]1([H])OC([H])(O[H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-421.1,,1,,,
"1,3-Dichloropropane",[H]C([H])(Cl)C([H])([H])C([H])([H])Cl,298.15,0.25,7.0,14.0,164.1,,1,,,
Thiocyanate,[H]SC#N,298.15,0.25,7.0,14.0,91.8,,1,,,
Acetyl phosphate,[H]OP(=O)(O[H])OC(=O)C([H])([H])[H],298.15,0.25,7.0,14.0,-1100.5,,1,,,
"1,2-Dichloroethane",[H]C([H])(Cl)C([H])([H])Cl,298.15,0.25,7.0,14.0,90.0,,1,,,
Hexadecanoic acid,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,1002.9,,1,,,
"1,2,3,4-Tetrachlorobenzene",[H]c1c([H])c(Cl)c(Cl)c(Cl)c1Cl,298.15,0.25,7.0,14.0,137.3,,1,,,
CO,[C-]#[O+],298.15,0.25,7.0,14.0,-119.9,,1,,,
Acetoacetate,[H]OC(=O)C([H])([H])C(=O)C([H])([H])[H],298.15,0.25,7.0,14.0,-279.6,,1,,,
Maltose,[H]OC1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[C@@]2([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])[C@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-678.3,,1,,,
L-Cystine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])SSC([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],298.15,0.25,7.0,14.0,-177.7,,1,,,
Phosphoenolpyruvate,[H]OC(=O)C(OP(=O)(O[H])O[H])=C([H])[H],298.15,0.25,7.0,14.0,-1189.5,,1,,,
Propane-1-ol,[H]OC([H])([H])C([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,150.1,,1,,,
Fe2+,[Fe+2],298.15,0.25,7.0,14.0,-82.1,,1,,,
1-Chloropentane,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])Cl,298.15,0.25,7.0,14.0,418.6,,1,,,
2-Hydroxy-5-chlorobenzoate,[H]OC(=O)c1c([H])c(Cl)c([H])c([H])c1O[H],298.15,0.25,7.0,14.0,-246.7,,1,,,
"alpha,alpha-Trehalose",[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[C@@]2([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-686.4,,1,,,
3-Chlorobenzoate,[H]OC(=O)c1c([H])c([H])c([H])c(Cl)c1[H],298.15,0.25,7.0,14.0,-83.8,,1,,,
2-Methylmaleate,[H]OC(=O)/C([H])=C(\C(=O)O[H])C([H])([H])[H],298.15,0.25,7.0,14.0,-441.0,,1,,,
Formaldehyde,[H]C([H])=O,298.15,0.25,7.0,14.0,-40.0,,1,,,
Butane,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,407.2,,1,,,
Butanoic acid,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,-68.2,,1,,,
NH3,[H]N([H])[H],298.15,0.25,7.0,14.0,82.8,,1,,,
Trichloroethene,[H]C(Cl)=C(Cl)Cl,298.15,0.25,7.0,14.0,66.2,,1,,,
Propan-2-ol,[H]OC([H])(C([H])([H])[H])C([H])([H])[H],298.15,0.25,7.0,14.0,140.7,,1,,,
Orthophosphate,[H]OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1059.1,,1,,,
Fe3+,[Fe+3],298.15,0.25,7.0,14.0,-11.9,,1,,,
Sulfate,[H]OS(=O)(=O)O[H],298.15,0.25,7.0,14.0,-747.8,,1,,,
"trans-1,2-Dichloroethene",[H]/C(Cl)=C(/[H])Cl,298.15,0.25,7.0,14.0,113.5,,1,,,
Ethylene,[H]C([H])=C([H])[H],298.15,0.25,7.0,14.0,244.4,,1,,,
Sulfur dioxide,O=S=O,298.15,0.25,7.0,14.0,-300.7,,1,,,
Hexachlorobenzene,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,298.15,0.25,7.0,14.0,46.0,,1,,,
D-Glucose 1-phosphate,[H]OC([H])([H])[C@@]1([H])OC([H])(OP(=O)(O[H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-1312.0,,1,,,
Methylamine,[H]N([H])C([H])([H])[H],298.15,0.25,7.0,14.0,203.8,,1,,,
Methanol,[H]OC([H])([H])[H],298.15,0.25,7.0,14.0,-12.3,,1,,,
"1,2,3-Trichloropropane",[H]C([H])(Cl)C([H])(Cl)C([H])([H])Cl,298.15,0.25,7.0,14.0,103.2,,1,,,
Hypoxanthine,[H]c1nc2c(nc([H])n2[H])c(=O)n1[H],298.15,0.25,7.0,14.0,252.3,,1,,,
Glycylglycine,[H]OC(=O)C([H])([H])N([H])C(=O)C([H])([H])N([H])[H],298.15,0.25,7.0,14.0,-194.6,,1,,,
"3,4-Dichlorobenzoate",[H]OC(=O)c1c([H])c([H])c(Cl)c(Cl)c1[H],298.15,0.25,7.0,14.0,-142.8,,1,,,
Urea,[H]N([H])C(=O)N([H])[H],298.15,0.25,7.0,14.0,-39.8,,1,,,
Nitrate,[H]O[N+](=O)[O-],298.15,0.25,7.0,14.0,-109.5,,1,,,
D-Galactose 1-phosphate,[H]OC([H])([H])[C@@]1([H])O[C@]([H])(OP(=O)(O[H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-1311.8,,1,,,
Monochlorobenzene,[H]c1c([H])c([H])c(Cl)c([H])c1[H],298.15,0.25,7.0,14.0,306.0,,1,,,
"3,5-Dichlorobenzoate",[H]OC(=O)c1c([H])c(Cl)c([H])c(Cl)c1[H],298.15,0.25,7.0,14.0,-152.1,,1,,,
L-Glutamate,[H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],298.15,0.25,7.0,14.0,-372.4,,1,,,
Hydrogen sulfide,[H]S[H],298.15,0.25,7.0,14.0,51.5,,1,,,
3-Iodobenzoate,[H]OC(=O)c1c([H])c([H])c([H])c(I)c1[H],298.15,0.25,7.0,14.0,18.1,,1,,,
D-Glucose,[H]OC1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-427.0,,1,,,
D-Ribose 5-phosphate,[H]OC1([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-1232.4,,1,,,
L-Threonine,[H]OC(=O)[C@@]([H])(N([H])[H])[C@]([H])(O[H])C([H])([H])[H],298.15,0.25,7.0,14.0,-162.2,,1,,,
L-Sorbose,[H]OC([H])([H])C(=O)[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-423.0,,1,,,
Isocitrate,[H]OC(=O)C([H])([H])C([H])(C(=O)O[H])C([H])(O[H])C(=O)O[H],298.15,0.25,7.0,14.0,-959.6,,1,,,
D-Mannose 1-phosphate,[H]OC([H])([H])[C@@]1([H])OC([H])(OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-1309.7,,1,,,
L-Tryptophan,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])c1c([H])n([H])c2c([H])c([H])c([H])c([H])c12,298.15,0.25,7.0,14.0,374.2,,1,,,
Chloroethane,[H]C([H])([H])C([H])([H])Cl,298.15,0.25,7.0,14.0,166.9,,1,,,
2-Fluorobenzoate,[H]OC(=O)c1c([H])c([H])c([H])c([H])c1F,298.15,0.25,7.0,14.0,-236.5,,1,,,
L-Valine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],298.15,0.25,7.0,14.0,89.5,,1,,,
3-Fluorobenzoate,[H]OC(=O)c1c([H])c([H])c([H])c(F)c1[H],298.15,0.25,7.0,14.0,-231.0,,1,,,
Iron,[Fe],298.15,0.25,7.0,14.0,0.0,,1,,,
Sorbitol 6-phosphate,[H]OC([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1266.9,,1,,,
Fumarate,[H]OC(=O)/C([H])=C(\[H])C(=O)O[H],298.15,0.25,7.0,14.0,-523.6,,1,,,
Glycerone phosphate,[H]OC([H])([H])C(=O)C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1095.9,,1,,,
2-Chlorobenzoate,[H]OC(=O)c1c([H])c([H])c([H])c([H])c1Cl,298.15,0.25,7.0,14.0,-75.7,,1,,,
Isomaltose,[H]OC1([H])O[C@]([H])(C([H])([H])O[C@@]2([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-691.3,,1,,,
2-Bromobenzoate,[H]OC(=O)c1c([H])c([H])c([H])c([H])c1Br,298.15,0.25,7.0,14.0,-47.3,,1,,,
Hydrogen peroxide,[H]OO[H],298.15,0.25,7.0,14.0,-52.5,,1,,,
"2,5-Dichlorobenzoate",[H]OC(=O)c1c([H])c(Cl)c([H])c([H])c1Cl,298.15,0.25,7.0,14.0,-157.3,,1,,,
"D-Glucono-1,5-lactone 6-phosphate",[H]O[C@@]1([H])[C@]([H])(O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])O[H])OC(=O)[C@]1([H])O[H],298.15,0.25,7.0,14.0,-1382.8,,1,,,
"1,4-Dichlorobenzene",[H]c1c([H])c(Cl)c([H])c([H])c1Cl,298.15,0.25,7.0,14.0,241.3,,1,,,
D-Mannitol 1-phosphate,[H]OC([H])([H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1267.4,,1,,,
"1,3-Dichlorobenzene",[H]c1c([H])c(Cl)c([H])c(Cl)c1[H],298.15,0.25,7.0,14.0,244.8,,1,,,
(S)-Lactate,[H]OC(=O)[C@@]([H])(O[H])C([H])([H])[H],298.15,0.25,7.0,14.0,-313.8,,1,,,
2-Chlorobutane,[H]C([H])([H])C([H])([H])C([H])(Cl)C([H])([H])[H],298.15,0.25,7.0,14.0,321.1,,1,,,
Adenine,[H]c1nc(N([H])[H])c2c(n1)nc([H])n2[H],298.15,0.25,7.0,14.0,517.1,,1,,,
Urate,[H]n1c(=O)c2c(n([H])c1=O)n([H])c(=O)n2[H],298.15,0.25,7.0,14.0,-194.9,,1,,,
4-Oxoglutaramate,[H]OC(=O)C([H])([H])C([H])([H])C(=O)C(=O)N([H])[H],298.15,0.25,7.0,14.0,-352.2,,1,,,
L-Asparagine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C(=O)N([H])[H],298.15,0.25,7.0,14.0,-200.1,,1,,,
(S)-2-Hydroxyglutarate,[H]OC(=O)C([H])([H])C([H])([H])[C@]([H])(O[H])C(=O)O[H],298.15,0.25,7.0,14.0,-599.0,,1,,,
D-Arabinose 5-phosphate,[H]O[C@@]([H])([C@]([H])(O[H])C([H])=O)[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1235.0,,1,,,
L-Serine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-225.7,,1,,,
Indole,[H]c1c([H])c([H])c2c(c1[H])c([H])c([H])n2[H],298.15,0.25,7.0,14.0,509.0,,1,,,
"1,1-Dichloroethane",[H]C([H])([H])C([H])(Cl)Cl,298.15,0.25,7.0,14.0,94.3,,1,,,
Vinyl chloride,[H]C([H])=C([H])Cl,298.15,0.25,7.0,14.0,181.9,,1,,,
