description,reaction,T,I,pH,pMg,standard_dg_prime,std,n,SEM,type,nontrans_standard_dg_prime,nontrans_std,all standard_dg_prime,all nontrans_standard_dg_prime
"3',5'-Cyclic AMP",[H]O[C@]1([H])[C@]2([H])OP(=O)(O[H])OC([H])([H])[C@@]2([H])O[C@@]1([H])n1c([H])nc2c(N([H])[H])nc([H])nc21,298.15,0.25,7.0,14.0,-343.5,,1,,formation dg,,,,
"3,4,5-Trichlorobenzoate",[H]OC(=O)c1c([H])c(Cl)c(Cl)c(Cl)c1[H],298.15,0.25,7.0,14.0,-200.9,,1,,formation dg,,,,
"3,4-Dichlorobenzoate",[H]OC(=O)c1c([H])c([H])c(Cl)c(Cl)c1[H],298.15,0.25,7.0,14.0,-142.8,,1,,formation dg,,,,
"3,5-Dichlorobenzoate",[H]OC(=O)c1c([H])c(Cl)c([H])c(Cl)c1[H],298.15,0.25,7.0,14.0,-152.1,,1,,formation dg,,,,
3-Bromobenzoate,[H]OC(=O)c1c([H])c([H])c([H])c(Br)c1[H],298.15,0.25,7.0,14.0,-40.8,,1,,formation dg,,,,
3-Chlorobenzoate,[H]OC(=O)c1c([H])c([H])c([H])c(Cl)c1[H],298.15,0.25,7.0,14.0,-83.8,,1,,formation dg,,,,
3-Fluorobenzoate,[H]OC(=O)c1c([H])c([H])c([H])c(F)c1[H],298.15,0.25,7.0,14.0,-231.0,,1,,formation dg,,,,
3-Hydroxypropanoate,[H]OC(=O)C([H])([H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-315.5,,1,,formation dg,,,,
3-Iodobenzoate,[H]OC(=O)c1c([H])c([H])c([H])c(I)c1[H],298.15,0.25,7.0,14.0,18.1,,1,,formation dg,,,,
3-Phospho-D-glycerate,[H]OC(=O)[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1347.0,,1,,formation dg,,,,
3-Phospho-D-glyceroyl phosphate,[H]O[C@@]([H])(C(=O)OP(=O)(O[H])O[H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-2206.2,,1,,formation dg,,,,
3-Phosphonooxypyruvate,[H]OC(=O)C(=O)C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1374.5,,1,,formation dg,,,,
4-Bromobenzoate,[H]OC(=O)c1c([H])c([H])c(Br)c([H])c1[H],298.15,0.25,7.0,14.0,-34.1,,1,,formation dg,,,,
4-Chlorobenzoate,[H]OC(=O)c1c([H])c([H])c(Cl)c([H])c1[H],298.15,0.25,7.0,14.0,-77.3,,1,,formation dg,,,,
4-Fluorobenzoate,[H]OC(=O)c1c([H])c([H])c(F)c([H])c1[H],298.15,0.25,7.0,14.0,-226.0,,1,,formation dg,,,,
4-Hydroxy-2-oxoglutarate,[H]OC(=O)C(=O)C([H])([H])C([H])(O[H])C(=O)O[H],298.15,0.25,7.0,14.0,-812.0,,1,,formation dg,,,,
4-Iodobenzoate,[H]OC(=O)c1c([H])c([H])c(I)c([H])c1[H],298.15,0.25,7.0,14.0,20.9,,1,,formation dg,,,,
4-Methyl-2-oxopentanoate,[H]OC(=O)C(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],298.15,0.25,7.0,14.0,-79.3,,1,,formation dg,,,,
4-Oxoglutaramate,[H]OC(=O)C([H])([H])C([H])([H])C(=O)C(=O)N([H])[H],298.15,0.25,7.0,14.0,-352.2,,1,,formation dg,,,,
5-Phospho-alpha-D-ribose 1-diphosphate,[H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])OP(=O)(O[H])O[H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-2977.4,,1,,formation dg,,,,
ADP,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1423.9,,1,,formation dg,,,,
AMP,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-554.9,,1,,formation dg,,,,
ATP,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-2293.7,,1,,formation dg,,,,
Acetaldehyde,[H]C(=O)C([H])([H])[H],298.15,0.25,7.0,14.0,24.0,,1,,formation dg,,,,
Acetate,[H]OC(=O)C([H])([H])[H],298.15,0.25,7.0,14.0,-247.9,,1,,formation dg,,,,
Acetoacetate,[H]OC(=O)C([H])([H])C(=O)C([H])([H])[H],298.15,0.25,7.0,14.0,-279.6,,1,,formation dg,,,,
Acetone,[H]C([H])([H])C(=O)C([H])([H])[H],298.15,0.25,7.0,14.0,84.8,,1,,formation dg,,,,
Acetyl phosphate,[H]OP(=O)(O[H])OC(=O)C([H])([H])[H],298.15,0.25,7.0,14.0,-1100.5,,1,,formation dg,,,,
Adenine,[H]c1nc(N([H])[H])c2c(n1)nc([H])n2[H],298.15,0.25,7.0,14.0,517.1,,1,,formation dg,,,,
Adenosine,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,335.1,,1,,formation dg,,,,
Adenylyl sulfate,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OS(=O)(=O)O[H],298.15,0.25,7.0,14.0,-1056.3,,1,,formation dg,,,,
Butanal,[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,196.1,,1,,formation dg,,,,
Butane,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,407.2,,1,,formation dg,,,,
Butanoic acid,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,-68.2,,1,,formation dg,,,,
CH3NHp,[H]C([H])([H])[N+]([O-])(C([H])([H])[H])C([H])([H])[H],298.15,0.25,7.0,14.0,444.0,,1,,formation dg,,,,
CO,[C-]#[O+],298.15,0.25,7.0,14.0,-119.9,,1,,formation dg,,,,
CO2,O=C=O,298.15,0.25,7.0,14.0,-386.0,,1,,formation dg,,,,
CO2(tot),[H]OC(=O)O[H],298.15,0.25,7.0,14.0,-546.9,0.14142135623734164,2,0.10000000000002272,formation dg,,,,
Carbon tetrachloride,ClC(Cl)(Cl)Cl,298.15,0.25,7.0,14.0,-45.1,,1,,formation dg,,,,
Chloroethane,[H]C([H])([H])C([H])([H])Cl,298.15,0.25,7.0,14.0,166.9,,1,,formation dg,,,,
Chloroform,[H]C(Cl)(Cl)Cl,298.15,0.25,7.0,14.0,-25.8,,1,,formation dg,,,,
Chloromethane,[H]C([H])([H])Cl,298.15,0.25,7.0,14.0,69.5,,1,,formation dg,,,,
Citrate,[H]OC(=O)C([H])([H])C(O[H])(C(=O)O[H])C([H])([H])C(=O)O[H],298.15,0.25,7.0,14.0,-966.3,,1,,formation dg,,,,
Creatine,[H]N=C(N([H])[H])N(C([H])([H])[H])C([H])([H])C(=O)O[H],298.15,0.25,7.0,14.0,107.5,,1,,formation dg,,,,
Creatinine,[H]N=C1N([H])C(=O)C([H])([H])N1C([H])([H])[H],298.15,0.25,7.0,14.0,261.9,,1,,formation dg,,,,
Cyanate,[H]N=C=O,298.15,0.25,7.0,14.0,-98.2,,1,,formation dg,,,,
D-Arabinose,[H]OC1([H])OC([H])([H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-334.8,,1,,formation dg,,,,
D-Arabinose 5-phosphate,[H]O[C@@]([H])([C@]([H])(O[H])C([H])=O)[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1235.0,,1,,formation dg,,,,
D-Fructose,[H]OC([H])([H])C(=O)[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-426.6,,1,,formation dg,,,,
"D-Fructose 1,6-bisphosphate",[H]OC1(C([H])([H])OP(=O)(O[H])O[H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-2207.0,,1,,formation dg,,,,
D-Fructose 6-phosphate,[H]OC([H])([H])C1(O[H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-1316.0,,1,,formation dg,,,,
"D-Galactono-1,4-lactone",[H]OC([H])([H])[C@@]([H])(O[H])[C@]1([H])OC(=O)[C@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-497.9,,1,,formation dg,,,,
D-Galactose,[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-420.0,,1,,formation dg,,,,
D-Galactose 1-phosphate,[H]OC([H])([H])[C@@]1([H])O[C@]([H])(OP(=O)(O[H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-1311.8,,1,,formation dg,,,,
D-Galactose 6-phosphate,[H]OC1([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-1312.0,,1,,formation dg,,,,
D-Gluconic acid,[H]OC(=O)[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-680.9,,1,,formation dg,,,,
"D-Glucono-1,5-lactone",[H]OC([H])([H])[C@@]1([H])OC(=O)[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-496.1,,1,,formation dg,,,,
"D-Glucono-1,5-lactone 6-phosphate",[H]O[C@@]1([H])[C@]([H])(O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])O[H])OC(=O)[C@]1([H])O[H],298.15,0.25,7.0,14.0,-1382.8,,1,,formation dg,,,,
D-Glucose,[H]OC1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-427.0,,1,,formation dg,,,,
D-Glucose 1-phosphate,[H]OC([H])([H])[C@@]1([H])OC([H])(OP(=O)(O[H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-1312.0,,1,,formation dg,,,,
D-Glucose 6-phosphate,[H]OC1([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-1319.1,,1,,formation dg,,,,
D-Glyceraldehyde,[H]OC([H])([H])[C@@]([H])(O[H])C([H])=O,298.15,0.25,7.0,14.0,-195.6,,1,,formation dg,,,,
D-Glyceraldehyde 3-phosphate,[H]O[C@@]([H])(C([H])=O)C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1088.2,,1,,formation dg,,,,
D-Glycerate,[H]OC(=O)[C@]([H])(O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-458.1,,1,,formation dg,,,,
D-Lyxose,[H]OC1([H])OC([H])([H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-341.7,,1,,formation dg,,,,
D-Mannitol 1-phosphate,[H]OC([H])([H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1267.4,,1,,formation dg,,,,
D-Mannose,[H]OC([H])([H])[C@@]1([H])OC([H])(O[H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-421.1,,1,,formation dg,,,,
D-Mannose 1-phosphate,[H]OC([H])([H])[C@@]1([H])OC([H])(OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-1309.7,,1,,formation dg,,,,
D-Mannose 6-phosphate,[H]O[C@@]([H])([C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H])[C@]([H])(O[H])C([H])=O,298.15,0.25,7.0,14.0,-1315.0,,1,,formation dg,,,,
D-Ribose,[H]OC1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-331.3,,1,,formation dg,,,,
D-Ribose 5-phosphate,[H]OC1([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-1232.4,,1,,formation dg,,,,
D-Ribulose,[H]OC([H])([H])C(=O)[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-328.5,,1,,formation dg,,,,
D-Ribulose 5-phosphate,[H]OC([H])([H])C(=O)[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1232.0,,1,,formation dg,,,,
D-Sorbitol,[H]OC([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-375.9,,1,,formation dg,,,,
D-Xylose,[H]OC([H])([H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])=O,298.15,0.25,7.0,14.0,-343.0,,1,,formation dg,,,,
D-Xylulose,[H]OC([H])([H])C(=O)[C@@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-338.7,,1,,formation dg,,,,
Dichloromethane,[H]C([H])(Cl)Cl,298.15,0.25,7.0,14.0,15.4,,1,,formation dg,,,,
Dimethylamine,[H]N(C([H])([H])[H])C([H])([H])[H],298.15,0.25,7.0,14.0,321.8,,1,,formation dg,,,,
Diphosphate,[H]OP(=O)(O[H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1942.8,,1,,formation dg,,,,
Ethane,[H]C([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,227.0,,1,,formation dg,,,,
Ethanol,[H]OC([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,62.8,,1,,formation dg,,,,
Ethyl acetate,[H]C([H])([H])C(=O)OC([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,-11.7,,1,,formation dg,,,,
Ethylene,[H]C([H])=C([H])[H],298.15,0.25,7.0,14.0,244.4,,1,,formation dg,,,,
Fe2+,[Fe+2],298.15,0.25,7.0,14.0,-82.1,,1,,formation dg,,,,
Fe3+,[Fe+3],298.15,0.25,7.0,14.0,-11.9,,1,,formation dg,,,,
Formaldehyde,[H]C([H])=O,298.15,0.25,7.0,14.0,-40.0,,1,,formation dg,,,,
Formate,[H]OC([H])=O,298.15,0.25,7.0,14.0,-311.1,,1,,formation dg,,,,
Fumarate,[H]OC(=O)/C([H])=C(\[H])C(=O)O[H],298.15,0.25,7.0,14.0,-523.6,,1,,formation dg,,,,
Glycerol,[H]OC([H])([H])C([H])(O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-171.5,,1,,formation dg,,,,
Glycerone,[H]OC([H])([H])C(=O)C([H])([H])O[H],298.15,0.25,7.0,14.0,-206.5,,1,,formation dg,,,,
Glycerone phosphate,[H]OC([H])([H])C(=O)C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1095.9,,1,,formation dg,,,,
Glycine,[H]OC(=O)C([H])([H])N([H])[H],298.15,0.25,7.0,14.0,-176.2,,1,,formation dg,,,,
Glycolate,[H]OC(=O)C([H])([H])O[H],298.15,0.25,7.0,14.0,-409.5,,1,,formation dg,,,,
Glycylglycine,[H]OC(=O)C([H])([H])N([H])C(=O)C([H])([H])N([H])[H],298.15,0.25,7.0,14.0,-194.6,,1,,formation dg,,,,
Glyoxylate,[H]OC(=O)C([H])=O,298.15,0.25,7.0,14.0,-428.7,,1,,formation dg,,,,
H2O,[H]O[H],298.15,0.25,7.0,14.0,-155.7,,1,,formation dg,,,,
Hexachlorobenzene,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,298.15,0.25,7.0,14.0,46.0,,1,,formation dg,,,,
Hexachloroethane,ClC(Cl)(Cl)C(Cl)(Cl)Cl,298.15,0.25,7.0,14.0,-49.6,,1,,formation dg,,,,
Hexadecanoic acid,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,1002.9,,1,,formation dg,,,,
Hydrazine,[H]N([H])N([H])[H],298.15,0.25,7.0,14.0,290.9,,1,,formation dg,,,,
Hydrogen,[H][H],298.15,0.25,7.0,14.0,99.1,,1,,formation dg,,,,
Hydrogen cyanide,[H]C#N,298.15,0.25,7.0,14.0,160.3,,1,,formation dg,,,,
Hydrogen peroxide,[H]OO[H],298.15,0.25,7.0,14.0,-52.5,,1,,formation dg,,,,
Hydrogen sulfide,[H]S[H],298.15,0.25,7.0,14.0,51.5,,1,,formation dg,,,,
Hypoxanthine,[H]c1nc2c(nc([H])n2[H])c(=O)n1[H],298.15,0.25,7.0,14.0,252.3,,1,,formation dg,,,,
Indole,[H]c1c([H])c([H])c2c(c1[H])c([H])c([H])n2[H],298.15,0.25,7.0,14.0,509.0,,1,,formation dg,,,,
Inosine,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(=O)n([H])c([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,79.7,,1,,formation dg,,,,
Iron,[Fe],298.15,0.25,7.0,14.0,0.0,,1,,formation dg,,,,
Isocitrate,[H]OC(=O)C([H])([H])C([H])(C(=O)O[H])C([H])(O[H])C(=O)O[H],298.15,0.25,7.0,14.0,-959.6,,1,,formation dg,,,,
Isomaltose,[H]OC1([H])O[C@]([H])(C([H])([H])O[C@@]2([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-691.3,,1,,formation dg,,,,
L-Alanine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])[H],298.15,0.25,7.0,14.0,-85.8,,1,,formation dg,,,,
L-Asparagine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C(=O)N([H])[H],298.15,0.25,7.0,14.0,-200.1,,1,,formation dg,,,,
L-Aspartate,[H]OC(=O)C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],298.15,0.25,7.0,14.0,-452.3,,1,,formation dg,,,,
L-Cysteine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])S[H],298.15,0.25,7.0,14.0,-53.7,,1,,formation dg,,,,
L-Cystine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])SSC([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],298.15,0.25,7.0,14.0,-177.7,,1,,formation dg,,,,
L-Glutamate,[H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],298.15,0.25,7.0,14.0,-372.4,,1,,formation dg,,,,
