,description,reaction,T,I,pH,pMg,standard_dg_prime,nontrans_standard_dg_prime,nontrans_stderr,stderr,n,SEM,ddG
31,L-Tyrosine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])c1c([H])c([H])c(O[H])c([H])c1[H],298.15,0.25,7.0,14.0,77.5,,,,,,-407.14888959781683
32,Acetaldehyde,[H]C(=O)C([H])([H])[H],298.15,0.25,7.0,14.0,24.0,,,,,,-162.97724925873297
33,D-Fructose 6-phosphate,[H]OC([H])([H])C1(O[H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-1316.0,,,,,,-492.01593663856653
34,Urea,[H]N([H])C(=O)N([H])[H],298.15,0.25,7.0,14.0,-39.8,,,,,,-162.9772492535239
35,Nitrite,[H]ON=O,298.15,0.25,7.0,14.0,-33.0,,,,,,-40.74431231471464
36,Sulfur,[H]S[H],298.15,0.25,7.0,14.0,0.0,,,,,,-81.48862462959718
37,Sucrose,[H]OC([H])([H])[C@@]1(O[C@@]2([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-668.3,,,,,,-896.3748215517253
38,D-Glucose 6-phosphate,[H]OC1([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-1319.1,,,,,,-492.01711163667176
39,sn-Glycerol 3-phosphate,[H]OC([H])([H])[C@@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1077.2,,,,,,-331.9743370883761
40,Sulfite,[H]OS(=O)O[H],298.15,0.25,7.0,14.0,-488.0,,,,,,-50.24584789871966
41,D-Fructose,[H]OC([H])([H])C(=O)[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-426.6,,,,,,-488.9317289388669
42,L-Cysteine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])S[H],298.15,0.25,7.0,14.0,-53.7,,,,,,-241.11282661746264
43,D-Glucose 1-phosphate,[H]OC([H])([H])[C@@]1([H])OC([H])(OP(=O)(O[H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-1312.0,,,,,,-491.52887456896195
44,Glycerone phosphate,[H]OC([H])([H])C(=O)C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1095.9,,,,,,-247.23416501621716
45,Glycerol,[H]OC([H])([H])C([H])(O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-171.5,,,,,,-325.9544978906582
46,D-Ribose 5-phosphate,[H]OC1([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-1232.4,,,,,,-410.52849234826687
47,D-Glyceraldehyde 3-phosphate,[H]O[C@@]([H])(C([H])=O)C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1088.2,,,,,,-249.37505804362902
48,5-Phospho-alpha-D-ribose 1-diphosphate,[H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])OP(=O)(O[H])O[H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-2977.4,,,,,,-440.68653804228745
49,D-Ribose,[H]OC1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-331.3,,,,,,-407.44299847295116
50,Fumarate,[H]OC(=O)/C([H])=C(\[H])C(=O)O[H],298.15,0.25,7.0,14.0,-523.6,,,,,,-128.51213710687347
51,L-Leucine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],298.15,0.25,7.0,14.0,177.4,,,,,,-491.27415075466035
52,D-Galactose,[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-420.0,,,,,,-488.9316177991006
53,Methanol,[H]OC([H])([H])[H],298.15,0.25,7.0,14.0,-12.3,,,,,,-162.97724925422344
54,Adenine,[H]c1nc(N([H])[H])c2c(n1)nc([H])n2[H],298.15,0.25,7.0,14.0,517.1,,,,,,-203.70732245221802
55,(S)-Malate,[H]OC(=O)C([H])([H])[C@]([H])(O[H])C(=O)O[H],298.15,0.25,7.0,14.0,-682.9,,,,,,-212.08523933584664
56,L-Asparagine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C(=O)N([H])[H],298.15,0.25,7.0,14.0,-200.1,,,,,,-289.18128806943605
57,Citrate,[H]OC(=O)C([H])([H])C(O[H])(C(=O)O[H])C([H])([H])C(=O)O[H],298.15,0.25,7.0,14.0,-966.3,,,,,,-288.64128070250354
58,D-Mannose,[H]OC([H])([H])[C@@]1([H])OC([H])(O[H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-421.1,,,,,,-488.9316177991006
59,Glycolate,[H]OC(=O)C([H])([H])O[H],298.15,0.25,7.0,14.0,-409.5,,,,,,-143.1802477491299
60,Acetoacetate,[H]OC(=O)C([H])([H])C(=O)C([H])([H])[H],298.15,0.25,7.0,14.0,-279.6,,,,,,-227.46254222824467
61,D-Xylose,[H]OC([H])([H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])=O,298.15,0.25,7.0,14.0,-343.0,,,,,,-407.4431108236936
62,L-Valine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],298.15,0.25,7.0,14.0,89.5,,,,,,-408.93106231247987
63,Glycerone,[H]OC([H])([H])C(=O)C([H])([H])O[H],298.15,0.25,7.0,14.0,-206.5,,,,,,-244.4658729487325
64,(S)-Lactate,[H]OC(=O)[C@@]([H])(O[H])C([H])([H])[H],298.15,0.25,7.0,14.0,-313.8,,,,,,-226.0944557364602
65,L-Threonine,[H]OC(=O)[C@@]([H])(N([H])[H])[C@]([H])(O[H])C([H])([H])[H],298.15,0.25,7.0,14.0,-162.2,,,,,,-327.93753513270826
66,3-Phospho-D-glycerate,[H]OC(=O)[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1347.0,,,,,,-238.95114892426605
67,"D-Glucono-1,5-lactone",[H]OC([H])([H])[C@@]1([H])OC(=O)[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-496.1,,,,,,-407.44306136880436
68,D-Ribulose 5-phosphate,[H]OC([H])([H])C(=O)[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1232.0,,,,,,-413.16286197612163
69,Acetone,[H]C([H])([H])C(=O)C([H])([H])[H],298.15,0.25,7.0,14.0,84.8,,,,,,-244.46587388879072
70,Maltose,[H]OC1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[C@@]2([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])[C@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-678.3,,,,,,-896.3747093379744
71,Oxalate,[H]OC(=O)C(=O)O[H],298.15,0.25,7.0,14.0,-677.1,,,,,,-32.82224114955885
72,Adenosine,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,335.1,,,,,,-529.6759688999888
73,D-Arabinose,[H]OC1([H])OC([H])([H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-334.8,,,,,,-407.44299732653684
74,Methylamine,[H]N([H])C([H])([H])[H],298.15,0.25,7.0,14.0,203.8,,,,,,-186.14826842829274
75,Adenylyl sulfate,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OS(=O)(=O)O[H],298.15,0.25,7.0,14.0,-1056.3,,,,,,-495.22896774009
76,Acetyl phosphate,[H]OP(=O)(O[H])OC(=O)C([H])([H])[H],298.15,0.25,7.0,14.0,-1100.5,,,,,,-166.3213801878507
77,4-Methyl-2-oxopentanoate,[H]OC(=O)C(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],298.15,0.25,7.0,14.0,-79.3,,,,,,-387.6461216791006
78,3-Phospho-D-glyceroyl phosphate,[H]O[C@@]([H])(C(=O)OP(=O)(O[H])O[H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-2206.2,,,,,,-252.34642016964654
79,CO,[C-]#[O+],298.15,0.25,7.0,14.0,-119.9,,,,,,1.5996899976127325e-08
80,Lactose,[H]OC1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[C@]2([H])O[C@]([H])(C([H])([H])O[H])[C@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])[C@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-671.0,,,,,,-896.3747093379744
81,Nitrate,[H]O[N+](=O)[O-],298.15,0.25,7.0,14.0,-109.5,,,,,,-40.74431231479859
82,Butanoic acid,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,-68.2,,,,,,-314.0111042050092
83,L-Sorbose,[H]OC([H])([H])C(=O)[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-423.0,,,,,,-488.9317289388669
84,Hexadecanoic acid,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,1002.9,,,,,,-1292.1008710437104
85,Isomaltose,[H]OC1([H])O[C@]([H])(C([H])([H])O[C@@]2([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-691.3,,,,,,-896.3747058693024
86,D-Gluconic acid,[H]OC(=O)[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-680.9,,,,,,-468.3362775436912
87,D-Glycerate,[H]OC(=O)[C@]([H])(O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-458.1,,,,,,-224.04151537826124
88,Hypoxanthine,[H]c1nc2c(nc([H])n2[H])c(=O)n1[H],298.15,0.25,7.0,14.0,252.3,,,,,,-162.93552322956998
89,D-Mannose 6-phosphate,[H]O[C@@]([H])([C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H])[C@]([H])(O[H])C([H])=O,298.15,0.25,7.0,14.0,-1315.0,,,,,,-494.7947378315529
90,Hydrogen,[H][H],298.15,0.25,7.0,14.0,99.1,,,,,,-81.48862462959718
91,Hydrogen sulfide,[H]S[H],298.15,0.25,7.0,14.0,51.5,,,,,,-81.48862462959718
92,CO2(tot),[H]OC(=O)O[H],298.15,0.25,7.0,14.0,-547.0,,,,,,-75.80488354883514
93,Inosine,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(=O)n([H])c([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,79.7,,,,,,-488.90708416001297
94,Creatine,[H]N=C(N([H])[H])N(C([H])([H])[H])C([H])([H])C(=O)O[H],298.15,0.25,7.0,14.0,107.5,,,,,,-319.17348555459216
95,Magnesium cation,[Mg+2],298.15,0.25,7.0,14.0,-458.5,,,,,,-529.4860682743727
96,D-Ribulose,[H]OC([H])([H])C(=O)[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-328.5,,,,,,-407.44310821328827
97,D-Xylulose,[H]OC([H])([H])C(=O)[C@@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-338.7,,,,,,-407.44310821328827
98,Isocitrate,[H]OC(=O)C([H])([H])C([H])(C(=O)O[H])C([H])(O[H])C(=O)O[H],298.15,0.25,7.0,14.0,-959.6,,,,,,-288.9344646254363
99,"D-Fructose 1,6-bisphosphate",[H]OC1(C([H])([H])OP(=O)(O[H])O[H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-2207.0,,,,,,-494.32127157294883
100,Urate,[H]n1c(=O)c2c(n([H])c1=O)n([H])c(=O)n2[H],298.15,0.25,7.0,14.0,-194.9,,,,,,-161.70381147081255
101,Xylitol,[H]OC([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-295.2,,,,,,-488.9317429612672
102,Mannitol,[H]OC([H])([H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-372.2,,,,,,-570.4203648080595
103,L-Isoleucine,[H]OC(=O)[C@@]([H])(N([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,185.8,,,,,,-490.8759152725647
104,cis-Aconitate,[H]OC(=O)/C([H])=C(\C(=O)O[H])C([H])([H])C(=O)O[H],298.15,0.25,7.0,14.0,-802.2,,,,,,-189.4984801190657
105,Indole,[H]c1c([H])c([H])c2c(c1[H])c([H])c([H])n2[H],298.15,0.25,7.0,14.0,509.0,,,,,,-285.21018620269064
106,Ethanol,[H]OC([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,62.8,,,,,,-244.4658738862379
107,D-Lyxose,[H]OC1([H])OC([H])([H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-341.7,,,,,,-407.44299732653684
108,L-Cystine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])SSC([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],298.15,0.25,7.0,14.0,-177.7,,,,,,-407.58023513206126
109,Nitric oxide,[N]=O,298.15,0.25,7.0,14.0,86.5,,,,,,3.048147621002153e-10
110,Dimethylamine,[H]N(C([H])([H])[H])C([H])([H])[H],298.15,0.25,7.0,14.0,321.8,,,,,,-261.70562138251137
111,Trimethylamine,[H]C([H])([H])N(C([H])([H])[H])C([H])([H])[H],298.15,0.25,7.0,14.0,443.8,,,,,,-348.61245798972783
112,"3',5'-Cyclic AMP",[H]O[C@]1([H])[C@]2([H])OP(=O)(O[H])OC([H])([H])[C@@]2([H])O[C@@]1([H])n1c([H])nc2c(N([H])[H])nc([H])nc21,298.15,0.25,7.0,14.0,-343.5,,,,,,-459.20885734842994
113,D-Glyceraldehyde,[H]OC([H])([H])[C@@]([H])(O[H])C([H])=O,298.15,0.25,7.0,14.0,-195.6,,,,,,-244.46587029845043
114,alpha-D-Ribose 1-phosphate,[H]OC([H])([H])[C@@]1([H])O[C@]([H])(OP(=O)(O[H])O[H])[C@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-1224.3,,,,,,-410.04025343384575
115,2-Phospho-D-glycerate,[H]OC(=O)[C@]([H])(OP(=O)(O[H])O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-1340.7,,,,,,-224.61470536059298
116,D-Mannose 1-phosphate,[H]OC([H])([H])[C@@]1([H])OC([H])(OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-1309.7,,,,,,-491.52887456896195
117,D-Mannitol 1-phosphate,[H]OC([H])([H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1267.4,,,,,,-576.2833707864924
118,2-Deoxy-D-ribose 5-phosphate,[H]O[C@@]([H])(C([H])([H])C([H])=O)[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1084.6,,,,,,-413.36317710766326
119,Nitrogen,N#N,298.15,0.25,7.0,14.0,18.7,,,,,,0.0
120,Creatinine,[H]N=C1N([H])C(=O)C([H])([H])N1C([H])([H])[H],298.15,0.25,7.0,14.0,261.9,,,,,,-285.1875431017373
121,D-Sorbitol,[H]OC([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-375.9,,,,,,-570.4203648080595
122,Ethyl acetate,[H]C([H])([H])C(=O)OC([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,-11.7,,,,,,-325.95449851838873
123,Nitrous oxide,N#[N+][O-],298.15,0.25,7.0,14.0,104.2,,,,,,13.417665242368349
124,O-Phospho-L-serine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1119.8,,,,,,-257.4876734874598
125,3-Hydroxypropanoate,[H]OC(=O)C([H])([H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-315.5,,,,,,-228.48810185496626
126,"alpha,alpha-Trehalose",[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[C@@]2([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-686.4,,,,,,-896.3748274807582
127,Sorbitol 6-phosphate,[H]OC([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1266.9,,,,,,-576.2833707864924
128,D-Arabinose 5-phosphate,[H]O[C@@]([H])([C@]([H])(O[H])C([H])=O)[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1235.0,,,,,,-413.3061168051249
129,D-Galactose 6-phosphate,[H]OC1([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-1312.0,,,,,,-492.01711163667176
130,4-Hydroxy-2-oxoglutarate,[H]OC(=O)C(=O)C([H])([H])C([H])(O[H])C(=O)O[H],298.15,0.25,7.0,14.0,-812.0,,,,,,-201.5624380525019
131,"D-Glucono-1,5-lactone 6-phosphate",[H]O[C@@]1([H])[C@]([H])(O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])O[H])OC(=O)[C@]1([H])O[H],298.15,0.25,7.0,14.0,-1382.8,,,,,,-411.3668167888429
132,Hydrogen cyanide,[H]C#N,298.15,0.25,7.0,14.0,160.3,,,,,,-40.736489733945206
133,Carbonic acid,[H]OC(=O)O[H],298.15,0.25,7.0,14.0,-546.8,,,,,,-75.80488354883514
134,Maleic acid,[H]OC(=O)/C([H])=C(/[H])C(=O)O[H],298.15,0.25,7.0,14.0,-513.8,,,,,,-134.03042180731413
135,Butanal,[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H],298.15,0.25,7.0,14.0,196.1,,,,,,-325.954498518365
136,Cyanate,[H]N=C=O,298.15,0.25,7.0,14.0,-98.2,,,,,,-40.744312314790385
137,Methane,[H]C([H])([H])[H],298.15,0.25,7.0,14.0,128.6,,,,,,-162.97724925919437
138,L-Iditol,[H]OC([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])([H])O[H],298.15,0.25,7.0,14.0,-374.3,,,,,,-570.4203648080595
139,Thiocyanate,[H]SC#N,298.15,0.25,7.0,14.0,91.8,,,,,,-3.6621635394088443
140,Propan-2-ol,[H]OC([H])(C([H])([H])[H])C([H])([H])[H],298.15,0.25,7.0,14.0,140.7,,,,,,-325.9544985144152
141,Glycylglycine,[H]OC(=O)C([H])([H])N([H])C(=O)C([H])([H])N([H])[H],298.15,0.25,7.0,14.0,-194.6,,,,,,-299.42354376509206
142,2-Methylmaleate,[H]OC(=O)/C([H])=C(\C(=O)O[H])C([H])([H])[H],298.15,0.25,7.0,14.0,-441.0,,,,,,-211.74231032011318
143,Dichloromethane,[H]C([H])(Cl)Cl,298.15,0.25,7.0,14.0,15.4,,,,,,-81.48862462959718
144,2-Chlorobenzoate,[H]OC(=O)c1c([H])c([H])c([H])c([H])c1Cl,298.15,0.25,7.0,14.0,-75.7,,,,,,-181.30083332487573
145,2-Fluorobenzoate,[H]OC(=O)c1c([H])c([H])c([H])c([H])c1F,298.15,0.25,7.0,14.0,-236.5,,,,,,-182.6698055915176
146,3-Fluorobenzoate,[H]OC(=O)c1c([H])c([H])c([H])c(F)c1[H],298.15,0.25,7.0,14.0,-231.0,,,,,,-185.23611172130865
147,4-Chlorobenzoate,[H]OC(=O)c1c([H])c([H])c(Cl)c([H])c1[H],298.15,0.25,7.0,14.0,-77.3,,,,,,-187.00316099979858
148,4-Fluorobenzoate,[H]OC(=O)c1c([H])c([H])c(F)c([H])c1[H],298.15,0.25,7.0,14.0,-226.0,,,,,,-187.85770369685525
149,(R)-2-Methylmalate,[H]OC(=O)C([H])([H])[C@@](O[H])(C(=O)O[H])C([H])([H])[H],298.15,0.25,7.0,14.0,-602.7,,,,,,-295.38353502826135
150,(S)-2-Hydroxyglutarate,[H]OC(=O)C([H])([H])C([H])([H])[C@]([H])(O[H])C(=O)O[H],298.15,0.25,7.0,14.0,-599.0,,,,,,-296.49672872994444
151,3-Phosphonooxypyruvate,[H]OC(=O)C(=O)C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-1374.5,,,,,,-140.54545874320655
152,"D-Galactono-1,4-lactone",[H]OC([H])([H])[C@@]([H])(O[H])[C@]1([H])OC(=O)[C@]([H])(O[H])[C@@]1([H])O[H],298.15,0.25,7.0,14.0,-497.9,,,,,,-407.44306174085955
